Produk,Rating,Ulasan
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Beli aja lahhh pokoknya gak nyesel☺️🥰
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,"Terimakasih barangnya sudah diterima dg baik, pesan kmrn dan hari ini sampai paketnya...wow kereeenn dan bagus bgt sepatunya, sesuai gambar dan saya suka bangeetttz...💞�... "
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,Semoga awet
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Bagus dan kanky lovers puas
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,"Shape and size: Ok
Wearability: Ok"
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Pas banget,ringan banget,pkok nya suka bget."
Kanky Hiro Nobunaga - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,first impression nya keren sepatu nya. semoga awet
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,"Bentuk dan ukuran: Pas
Best lah pokoknya"
Kanky Street RC-02 by Rico Lubis - Sepatu Basketball Pria Dewasa,5,Okeee
Kanky Street RC-02 by Rico Lubis - Sepatu Basketball Pria Dewasa,5,Awalnyaa tdk mau beli yg varian ini tapi coba2 checkout ehhh bgs bgt bgt bgt. Sampe beli lagi yg story kenshin 😭❤️
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Bagusss!!, tapi.. aku salah itung ukuran jadinya pass banget, sedihh bgttt mw nangis😟😓. semoga kaki ak ga nambah gede..🤲🤲. Btw ak uk kakinya 24cm"
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,"Buatan lokalll tp keceee
Recommended untuk yg cari sepatu lari
Model juga bagusss!!!"
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,CAKEP BGT ASELIII😘😘
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,"bagus, barang sesuai, pengiriman cepat"
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Local pride! Bagus banget, empuk"
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,"Sepatu kanky yang pertama ku punya🫶🏻 smoga awet ya dan bisa nemenin proses ku menuju body goals 🙌🏻🙌🏻

Sbnrnya nungguin story honjo restock tapi lama banget plis, ta... "
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"respon toko baik, model sepatu keren, ringan dan enak dipakai, trmksh.. semoga tokonya lancar"
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,"Bentuk dan ukuran: 39
BAGUS BGT BESTT POKOK NYA😻 ENTENG LAGI PENGIRIMAN CEPAT👍🏻
Warna: beige/peach"
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,Good
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Story gozen,Bahan bagus nyaman dikaki, harusnya up size tapi gak papa pas dikaki"
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Keren
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Sekali Kanky ya Kanky
Kanky Hiro Keiji V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Sesuai diskripsi
KANKY x STAPLE  EXC-02  -  Sepatu Casual Sport Style Pria Dewasa - Kanky Sportstyle,5,"bagus, ukuran musti +1 diatasnya, pake yang ukuran normal pas. (ngpres kalo pake kaos kaki)"
Kanky Hiro Nobunaga - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,4,Sepatunya bagus mudahan awet
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,cakep banget woii sukakkkk
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Bagus. Aslinya lebih mungil, ringan juga di pake nya"
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,"Bagus banget, gak kecewaa dehh"
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Pastinya ok n nyaman
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Agak kegedean sedikit, but is good"
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,bagus
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"ahhh bagus banget
ringannn"
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Kren barang nya
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes,5,Bagus.. sesuai deskripsi.. kualitas lokal yang sangat bisa bersaing
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original Rubber Shoes,5,"bagus bgttt real pictt, sesuaiii fotoo baguss bgtt cocokk buat sehari harii nyamannn, mau buat kado papa ku semoga sukaaa😍😍😍😍"
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,Paketku sdh smpe.. Wow sepatunya ringan di kaki stlh di coba..
Kanky Street RC-02 by Rico Lubis - Sepatu Basketball Pria Dewasa,5,ini kali pertama saya beli kanky dan di luar ekspektasi saya ini sepatunya sangat memuaskan
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,3,Lumayan sesuai harga
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,"co senin sore, rabu pagi sampe. gila sih, worth to buy gaiss, enteng, nyaman dipake, biasa pake uk 40 ttp ambil 40, dipakein kaos kaki pas bgt oke. semoga awet. makasi ka... "
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"Bentuk dan ukuran: Sesuai pokoknya
Aroma: Khas
Warna: Abu abu putih
Daya tahan pakai: Panjang"
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Cakepp bngett
