Produk,Rating,Ulasan
Ventela Victory Low Grey [ORIGINAL] - Abu,0,Sesuai pesanan.... Trimakasih
Ventela Olympic Low White Brown [ORIGINAL] - Putih Coklat,0,A
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Barang sesuai dan sangat bagus
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagus
Ventela Alpha Low Cream [ORIGINAL],0,"kaki ku ukuran 25cm, cekout 39, kegedean sii cuma masih oke kok, kalo yg 25cm enaknya cekout 38 biar gak kedegean 
tampilan semuanya okee realpict"
Ventela Public Low Navy [ORIGINAL]⠀⠀⠀⠀,0,"ke 3 kalinya beli ventela. udah paling pass dahhh. yang pertama beli awet 2 tahun dengan pemakaian tiap hari. yang kedua masih dipake ampe hari ini, yang ketiga ini beli... "
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Mantappp sesuai dengan gambar, original
Next bakal order disini lagi"
Ventela Icon Black Natural [ORIGINAL] - Hitam Putih Gading,0,kak kemarin baru beli sepatunya ngepas apa bisa longgar sendiri gak bagaimana cara mengatasinya kak
Ventela Public High Cream [ORIGINAL],0,"Bentuk dan ukuran: pas
Warna: sesuai gambar"
Ventela Reborn Low Reflective Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Sepatunya bagus, dan pengirimnya cepat"
Ventela Republic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Real, Bagus kerenn"
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Mudah2n awet
Ventela Alpha Low Cream [ORIGINAL],0,Mantep betull
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Bentuk dan ukuran: Bentuk bagus, ukuran pas, kualitas terbaik"
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagus
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,kren
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Barang nya bagus
Ventela Alpha Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Suka sekaliiii otw checkout lagi biar couple an 😁
Ventela Public Low All Black [ORIGINAL] - Hitam,0,Barang sampai sesuai pesanan
Ventela Bts 70s Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,mantap
Ventela Basic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"sepatu nya baguss, suka banget banget bangett, packing nya juga rapih amannn"
Ventela Icon Black Natural [ORIGINAL] - Hitam Putih Gading,0,Sangat bagus
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Alhamdulillah paket dah sampai padahal kemarin siang pesan, Alhamdulillah pagi ya datang sukses selalu untuk usahany"
Ventela Alpha Low All Black [ORIGINAL] - Hitam,0,Sangat bagus
Ventela Ethnic High White [ORIGINAL] - Putih,0,Pengiriman cepat
Ventela Icon Black Natural [ORIGINAL] - Hitam Putih Gading,0,"pengiriman cepat, jahitan dan lemnya juga rapi 👍🏻"
Ventela Ethnic Low White [ORIGINAL] - Putih⠀⠀⠀⠀⠀⠀⠀⠀,0,"Sepatu bagus sesuai di fto, semuanya terlihat oke, ukuran pas  nyaman dipke, pengiriman cepat order hari rabu kamis sore udah dateng, makasih"
Ventela Victory Low Cream [ORIGINAL],0,Bagusss
Ventela Public Low Grey [ORIGINAL] - Abu⠀,0,Mantab
Ventela Basic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Nangis bangeeeet
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,keren bagus produknya
Ventela Bts 70s Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"barang bagus , original"
Ventela Bts 70s Low Cream [ORIGINAL],0,trmksh... mantul
Ventela Alpha Low Cream [ORIGINAL],0,Sesuai pesanan
Ventela Alpha Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagus
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,bintang 5
