Rating,Ulasan
5,"Packing standar. Pengiriman cepat. Sesuai pesanan. Salah satu sepatu lari atau jogging yg murah tapi worth it. Finishing sepatunya rapi. Insole nya ada busa empuk gitu, s... "
5,"bagus nyaman, tapi pilih abu abu ternyata warnanya malah lebih dominan ke putih (hampir gakeliatan warna abunya) tp itu gapapa ga masalah, untuk sol nya empuk ya nyaman b... "
5,"pas sampe kardusnya penyok, untungnya sepatu aman ga ada cacat.
panjang kakiku 25,5 pake ukuran 41 (26,5) pas banget untung gak jadi ambil ukuran 40. sepatunya ringan dan... "
5,"Ukuran pas sesuai deskripsi, jahitan & lem sepatunya rapi, desain sepatu keren, pengemasan rapi & aman, pengiriman juga cepat. Sepatu lokal brand yg bagus banget... "
5,"ukuran pas, bahan ok. dipakai empuk nyaman . respon pelapak ok. top deh"
5,"bagus banget warnanyaa, sesuai dengan ekspetasi. untuk ukuran juga pas. panjang kaki 24,5 cm sama ambil yg ukuran 39 (25,5cm). sepatu nyaman, empuk, ringan juga😍"
5,aiihh suka banget lah dipakenya ringan model dan bahan premium ukuran pas dikaki
5,"Produk dalam keadaan baik secara keseluruhan, size sesuai pesanan & untuk respon penjual sangat cepat."
5,"Detail warna nya cantik banget, enteng banget saking entengnya serasa kya g pake sepatu, emng ya bnr kata orng ada hrga ada kualitas produk brand lokal cakep2 skrng mirip... "
5,"ringan banget, ak kira bakal berat trnyata ngga samsek"
5,"barang bagus
kualitas juga bagus 
pokoknya keren banget"
5,"Sepatunya bagus lucu banget warnanya
Ukurannya juga pas banget
semoga awet ya thanks seller"
4,Akhirnya ada juga ukuran yg pas setelah check toko banyak yg sold out alias kosong. lumayan buat nambah koleksi biar gak bosen 😀
5,"thank you kanky sudah mau proses order di hari lebaran 🤗. udah lama di wish list, akhirnya checkout juga. pertama kali beli sepatu kanky,  bagus, dan ga ada lecet sediki... "
5,"kualitas produk gak mengecewakan, semoga nyaman pas dipakainya🫶🏻👍🏻"
5,barangnya nyaman dan bagus sekali warnanya.. ortu suka
5,"Warna: Sesuai dengan yg di order
Bentuk dan ukuran: Pas
Outsole nya empuk, spatunya ringan, nyaman di kenakan."
4,"Bagussss bnget,ringan dan nyaman di pake,ukuran pas sesuai dg ukuran yg sering di pke top deh 😍👌👌👌
Mungkin di pengemasan ny perlu di perbaiki lg,aku fikir bakal di bu... "
5,"Seller Amanah, Sepatu Mantul, Pengiriman Lebih Cepat Dari Waktu Yang ditentukan, Semoga Awet"
4,"sepatunya nyaman, empuk juga gak keras, worth it banget untuk harga segini, kerenn warna nya juga lucuu bangett sukaaa"
5,"aaa sukakk banget warnanya cantikkk, sebenernya pngen seri lain tapi gaada sizenya yauda ambil ini aja dulu. btw kaki ku 22,5cm aku ambil uk 37 paaassss bangettt tanpa ka... "
5,"sepatu kanky ke-4 yg sy beli untuk ponakan. dgn stok varian yg sdh byk habis, pilihan yg tersisa tetap memuaskan dr model dan kualitasnya."
5,"Cepet banget sampe nya, enteng di pake🫶🏻"
5,"Tgl 2 order tgl 5 smpe, woahhhh keren bgt nih sepatu worth it lah sesuai kualitas, ga perlu upsize pas sesuai size normal. 
Thank you!"
5,sepatunya nyaman dan uk nya juga pas baguss pokoknyaa💗🫰🏻
4,"Bentuk dan ukuran: Sesuai dengan foto cakep
Daya tahan pakai: Ringan
Warna: Bagus sesuai dengan gambar"
5,"Bagus banget, pengiriman juga cepat, ukuran pas di kaki, nyaman dipakai"
5,"co senin sore, rabu pagi sampe. gila sih, worth to buy gaiss, enteng, nyaman dipake, biasa pake uk 40 ttp ambil 40, dipakein kaos kaki pas bgt oke. semoga awet. makasi ka... "
5,"PLCC GEMASSS BNGT, sumpah ini sepatu enak, desain nya lucuu, untuk Kaka nya juga ramahh, PLCC SUKA BANGET INI MAH 😭🫂🫂🫂🌟🌟🫰🫰"
5,Mantan bget. Realpick ringan cok bget buat aerobice
5,"Bentuk dan ukuran: pas dan nyaman
Warna: white/L pink
suka banget pengiriman nya cepat"
5,"ukuran sesuai, mantap sesuai gambar intinya"
5,"Packing oke, sekedar info sepatu kanky agak narrow kalau kakinya lebar alangkah baiknya naikin 0.5-1 size dr size biasanya biar ada space.. thankyou"
5,"Bentuk dan ukuran: 39
BAGUS BGT BESTT POKOK NYA😻 ENTENG LAGI PENGIRIMAN CEPAT👍🏻
Warna: beige/peach"
3,"sbnernya sepatunya bagus bgt, tapi sayangnya boxnya, pas sampe boxnya udh penyot², harusny harga 200+ udh dpt kotak yg lumayan premium, tpi malah kayak kardus biasa, di r... "
3,"sedikit sedih krn udah nunggu lama, seminggu baru dtg.. pas dtg salah ukuran.. pesen 39 yg dtg 40.. mau di balikin mikir2 lagi takut lama baliknya, tp sepatu ok sih.. ga... "
5,"bagus cm ada sedikit noda ditalinya tapi aman aja si lebih teliti lg kedepannya min🙏🏼❤️
Warna: Beige/peach
Bentuk dan ukuran: 39"
5,"bagus sepatunyaa entenggg panjang kaki 23,5 pakai ukuran normal 38 passss"
5,sepatu enteng. sol empuk. upper sol breathable.
5,"Lumayan buat bikin istri senang , langsung stok 2 pasang"
5,"suka deh sama sepatunya! ringan, harga bersahabat, produk lokal lagi! sangat bahagia."
5,"Sepatu empuk, jahitan sepatu rapi dan barang diterima dalam keadaan baik😍"
5,"Bagussss pake banget, gak nyesel kalo beli ini invest murah"
5,"Alhmdulillah akhirnya sampai juga, 
Terima kasih Kanky❤️❤️❤️"
5,keren siii enak bgtt dipakenyaa empuk enteng jga worth it lah dengan harga segtu🙂‍↔️
5,barang barang sudah datang dengan aman tidak ada permasalahan pada sepatunya cuman mungkin masih ada kerusakan di packaging ketika datang tapi melihat fisik barang tidak... 
5,"sepatunya nyaman banget dan pas ukurannya di kaki. pengiriman sesuai estimasi, barang diterima dalam kondisi baik. harga terjangkau, kualitas diatas ekspektasi."
5,"kualitas bahannya bgus bnget, salut walaupun produk lokal bahannya keren, nyaman dipake, ringan ga berat cocok buat di pakai sehari-hari"
5,"Saya up size ke 37 berhubung 36 kosong tapi masih ok karena pakai tali, sepatunya ringan sepertinya akan nyaman dipakai untuk aktivitas sehari-hari atau senam, kebetulan... "
5,"ukuran pas, jahitan rapih,bantalan kaki tebal,nyaman buat lari,nga bunyi pas jalan"
5,"Barang mendarat dgn aman walaupun kardusnya penyok. Biasa pake size 38, karna kaki lebar jd ambil size 39. Nyaman dipake empuk juga."
5,"dapett harga flash sale. sepatunya bagus cuma buat ukuran kaki 23,5 cm pake ukuran 36 ngepas banget. saran buat yg punya ukuran kaki 23,5 cm bisa naikin 1 ukuran lagi. pe... "
4,"produknya bagus, ringan juga cuman sayang pengirimannya lama bangett 2 minggu chat adminnya juga ga membantu disuruh nunggu aja, next semoga lebih baik ya"
4,"Bagus, agak ringan juga tpi kayaknya kurang nyaman solnya kurang empuk, sama wangi lem sepatunya menyengat banget hehe"
4,"Sepatu nya bagus. Model nya cantik. Padding dalem nya cukup nyaman. Sempet size kekecilan tapi bisa di tuker dan dibantu sama admin nya. 
Sesuai dengan harga nya 😊"
4,"Sesuai Orderan, 
Yg ke 2 nie Kanky, 
Cuman Packingannya yg kurang siip, gak dobel bungkus dan plastik tipis, kalau ujan bisa basah, 
Bersyukur Sepatu nyaman dipakai. 
PER... "
5,Barang Bagus sesuai ekspektasi cuma kayaknya kalau kakinya gk lebar gk perlu up size
5,"bagusss bangettt enteng dan nyaman dipake, biasanya pake size 39 aku coba 38 ternyata pass, next beli lagii deh😍"
5,"respon seller baik..

produk ok, diatas ekpektasi. untuk kualitas sepertinya baik dan awet.

mantap Kanky"
5,"ukuran sesuai, model bagus, murah dan memuaskan, kualitas tidak murahan"
5,"Bentuk dan ukuran: Bagus dan nyaman, ukurannya pas alhamdulillah, aku naikkin satu size dari biasanya, sepatunya juga ringan, mantap pokoknya 😍😍👍👍"
5,"Sepatunya lucu dan cantik 😍 untuk ukuran kaki 38 sebenarnya pas dan masih ada space kecil di ujung jari, hanya saja sampingnya sedikit sempit 🤏"
5,"ukurannya pas, dapat harga 160 aja, warnanya baguss, cocokk bangett,puas banget sama barang nya,dri kmrin nimbang2 co apa nggk, mumpung dpat harga murah co langsung..
ngg... "
5,"fast respons..bahan bagus,ukuran sesuai,nyaman dipakai..thx"
5,"barang sesuai, harga oke, kualitas juga bagus. nyaman banget"
4,"Bagusss juga dan pass, tpi packaging nya kurang oke gapke bubble wrape dibungkus plastik bening dan dus doang, al hasil penyok2 paket guehhh"
5,"beliin buat anak, ukuran pas , bahan jug oke. ringan banget dan anak seneng banget pakenya. local brand yg keren"
5,"Ukuran pas, aku pakai size 38. Bahannya enak banget emang cocok buat running karena ringan juga... Akan belilagi sihhh
Karena rivewnya juga bagus"" untuk sepatu ini 😍"
5,"Nyamaan bgttt, size nya sesuai jugaa"
5,"Ukuran pas, biasa pake 38, dinaikin 1 size. bagus si ini. ringan. dan build qualitynya bagus banget. untuk harga dibawah 200rb. nice"
5,"jujur sy puas bgt, dgn harga segini dapet sepatu dgn kualitas sebagus ini menurut sy, melebihi ekspektasi sy, semoga semakin banyak produk anak bangsa yg bisa sebagus ini... "
5,"ukuran sesuai pesanan, seller ramah dan respon juga cepat,"
